Seen Date,Relative Date,ManifestID,,ManifestURL
30 March 2026 – 23:05:36 UTC,7 days ago,5037299340901764828,,https://steamdb.info/depot/471711/history/?changeid=M:5037299340901764828
11 March 2026 – 15:22:28 UTC,26 days ago,661297060255129083,,https://steamdb.info/depot/471711/history/?changeid=M:661297060255129083
10 February 2026 – 03:54:21 UTC,2 months ago,8084364846408833108,,https://steamdb.info/depot/471711/history/?changeid=M:8084364846408833108
22 January 2026 – 03:57:11 UTC,3 months ago,4481515854550855182,,https://steamdb.info/depot/471711/history/?changeid=M:4481515854550855182
9 January 2026 – 18:28:37 UTC,3 months ago,4119355694530669499,,https://steamdb.info/depot/471711/history/?changeid=M:4119355694530669499
6 January 2026 – 03:53:34 UTC,3 months ago,8170740399094045439,,https://steamdb.info/depot/471711/history/?changeid=M:8170740399094045439
8 December 2025 – 04:00:30 UTC,4 months ago,4087482288272916117,,https://steamdb.info/depot/471711/history/?changeid=M:4087482288272916117
3 December 2025 – 00:54:36 UTC,4 months ago,1575219647815408492,,https://steamdb.info/depot/471711/history/?changeid=M:1575219647815408492
2 December 2025 – 03:58:18 UTC,4 months ago,4180503790721825891,,https://steamdb.info/depot/471711/history/?changeid=M:4180503790721825891
10 November 2025 – 04:35:41 UTC,5 months ago,3646542717021497857,,https://steamdb.info/depot/471711/history/?changeid=M:3646542717021497857
27 October 2025 – 15:10:58 UTC,6 months ago,337786162060137721,,https://steamdb.info/depot/471711/history/?changeid=M:337786162060137721
22 October 2025 – 03:00:51 UTC,6 months ago,7169438661392841727,,https://steamdb.info/depot/471711/history/?changeid=M:7169438661392841727
17 October 2025 – 02:57:02 UTC,6 months ago,5388506239382367453,,https://steamdb.info/depot/471711/history/?changeid=M:5388506239382367453
15 October 2025 – 02:58:50 UTC,6 months ago,8319517313915785243,,https://steamdb.info/depot/471711/history/?changeid=M:8319517313915785243
8 October 2025 – 03:08:14 UTC,6 months ago,1418906901253545526,,https://steamdb.info/depot/471711/history/?changeid=M:1418906901253545526
2 October 2025 – 17:49:42 UTC,6 months ago,6772702290242464450,,https://steamdb.info/depot/471711/history/?changeid=M:6772702290242464450
23 September 2025 – 03:01:43 UTC,7 months ago,2657302048456713518,,https://steamdb.info/depot/471711/history/?changeid=M:2657302048456713518
19 August 2025 – 03:05:32 UTC,8 months ago,5466215512543998100,,https://steamdb.info/depot/471711/history/?changeid=M:5466215512543998100
12 August 2025 – 23:36:20 UTC,8 months ago,5207631570671408651,,https://steamdb.info/depot/471711/history/?changeid=M:5207631570671408651
12 August 2025 – 02:48:24 UTC,8 months ago,2184557283794062898,,https://steamdb.info/depot/471711/history/?changeid=M:2184557283794062898
5 August 2025 – 18:19:31 UTC,8 months ago,5520001881224031112,,https://steamdb.info/depot/471711/history/?changeid=M:5520001881224031112
5 August 2025 – 02:50:07 UTC,8 months ago,4076191025518986358,,https://steamdb.info/depot/471711/history/?changeid=M:4076191025518986358
29 July 2025 – 02:58:32 UTC,9 months ago,7899039937464568984,,https://steamdb.info/depot/471711/history/?changeid=M:7899039937464568984
19 July 2025 – 02:45:25 UTC,9 months ago,1151455856673601091,,https://steamdb.info/depot/471711/history/?changeid=M:1151455856673601091
